event_name,event_time,event_mag,net,sta,comp,slat,slon,sevla,dist,snr,polarity,sharpness,ray_azimuth,take_off_angle,P_time,S_time
sparta1.3931,2020-08-10T21:33:38,1.89,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.76532,4.4573922921023215,U,E,100.85506,,2020-08-10T21:33:49.343742Z,2020-08-10T21:33:57.015537Z
sparta1.3931,2020-08-10T21:33:38,1.89,N4,V55A,HHZ,35.8518,-81.2149,313.0,68.34879,3.8866226214233657,U,E,188.54922,,2020-08-10T21:33:49.788651Z,2020-08-10T21:33:57.761337Z
sparta1.3931,2020-08-10T21:33:38,1.89,US,BLA,BHZ,37.2113,-80.42049,634.0,103.1195,1.1296646405459774,x,x,35.946583,62.84943291238707,2020-08-10T21:33:55.781292Z,2020-08-10T21:34:07.806778Z
sparta1.4069,2020-08-10T21:53:32,-1.33,ET,GFM,HHZ,36.111,-81.807,1726.0,75.661865,0.6872895703194335,x,x,238.16528,89.82938263488252,2020-08-10T21:53:45.045479Z,2020-08-10T21:53:53.868141Z
sparta1.4069,2020-08-10T21:53:32,-1.33,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.66871995,2.356400125648082,D,E,348.67896,,2020-08-10T21:53:32.111596Z,2020-08-10T21:53:32.193832Z
sparta1.4069,2020-08-10T21:53:32,-1.33,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.8328176,-1.1692861558797496,x,x,258.09094,,2020-08-10T21:53:32.824173Z,2020-08-10T21:53:33.388331Z
sparta1.4069,2020-08-10T21:53:32,-1.33,N4,U54A,HHZ,36.5209,-81.8204,837.0,65.38362,0.19192343276535928,x,x,274.8989,89.90226426272312,2020-08-10T21:53:43.273502Z,2020-08-10T21:53:50.897778Z
sparta1.4069,2020-08-10T21:53:32,-1.33,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.20501,-6.271054739883876,x,x,102.131134,89.90360787753836,2020-08-10T21:53:43.242649Z,2020-08-10T21:53:50.846058Z
sparta1.4069,2020-08-10T21:53:32,-1.33,N4,V55A,HHZ,35.8518,-81.2149,313.0,69.77318,-0.7579506193086065,x,x,189.07541,89.87018441051022,2020-08-10T21:53:44.021051Z,2020-08-10T21:53:52.156980Z
sparta1.4069,2020-08-10T21:53:32,-1.33,US,BLA,BHZ,37.2113,-80.42049,634.0,101.56573,-1.4088381396065088,x,x,36.003563,89.66961943760953,2020-08-10T21:53:49.512161Z,2020-08-10T21:54:01.355644Z
sparta1.4092,2020-08-10T21:56:54,-0.58,ET,GFM,HHZ,36.111,-81.807,1726.0,75.89312,0.28216326022534555,x,x,235.96097,89.69193926599444,2020-08-10T21:57:07.085485Z,2020-08-10T21:57:15.935207Z
sparta1.4092,2020-08-10T21:56:54,-0.58,ET,S1NC,HHZ,36.4787,-81.09453,874.0,2.2815316,3.2649038220092375,D,E,146.68073,,2020-08-10T21:56:54.383467Z,2020-08-10T21:56:54.649559Z
sparta1.4092,2020-08-10T21:56:54,-0.58,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.8844357,1.2895757374884225,x,x,223.20627,,2020-08-10T21:56:54.832240Z,2020-08-10T21:56:55.401843Z
sparta1.4092,2020-08-10T21:56:54,-0.58,N4,U54A,HHZ,36.5209,-81.8204,837.0,63.83205,2.5203172994234406,D,E,272.7038,89.75244468839217,2020-08-10T21:57:05.006081Z,2020-08-10T21:57:12.449499Z
sparta1.4092,2020-08-10T21:56:54,-0.58,N4,U56A,HHZ,36.3472,-80.3829,363.0,67.1333,-3.1308364774652757,x,x,104.01208,89.73565964421361,2020-08-10T21:57:05.575226Z,2020-08-10T21:57:13.403557Z
sparta1.4092,2020-08-10T21:56:54,-0.58,N4,V55A,HHZ,35.8518,-81.2149,313.0,72.10692,-0.7216491900382259,x,x,187.65886,89.71071308197418,2020-08-10T21:57:06.432545Z,2020-08-10T21:57:14.840681Z
sparta1.4092,2020-08-10T21:56:54,-0.58,US,BLA,BHZ,37.2113,-80.42049,634.0,100.3408,1.4399567240220768,x,x,37.493954,89.57389563526012,2020-08-10T21:57:11.301176Z,2020-08-10T21:57:23.001972Z
sparta1.4327,2020-08-10T22:30:42,0.67,ET,GFM,HHZ,36.111,-81.807,1726.0,75.57831,0.7676414810797444,x,x,237.71628,62.867317986538076,2020-08-10T22:30:55.039623Z,2020-08-10T22:31:03.858335Z
sparta1.4327,2020-08-10T22:30:42,0.67,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.32235432,18.448479770109753,D,E,51.50412,,2020-08-10T22:30:42.543657Z,2020-08-10T22:30:42.918096Z
sparta1.4327,2020-08-10T22:30:42,0.67,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.5815206,21.60277426455403,D,E,251.51566,,2020-08-10T22:30:42.952899Z,2020-08-10T22:30:43.604134Z
sparta1.4327,2020-08-10T22:30:42,0.67,N4,U54A,HHZ,36.5209,-81.8204,837.0,64.96394,4.859213060068971,U,E,274.52536,,2020-08-10T22:30:53.212032Z,2020-08-10T22:31:00.794725Z
sparta1.4327,2020-08-10T22:30:42,0.67,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.67665,1.8128699905854324,x,x,102.446396,,2020-08-10T22:30:53.334682Z,2020-08-10T22:31:01.000332Z
sparta1.4327,2020-08-10T22:30:42,0.67,N4,V55A,HHZ,35.8518,-81.2149,313.0,70.16349,1.6696487166812042,x,x,188.70496,,2020-08-10T22:30:54.098016Z,2020-08-10T22:31:02.286001Z
sparta1.4327,2020-08-10T22:30:42,0.67,US,BLA,BHZ,37.2113,-80.42049,634.0,101.4247,-0.5532092482619313,x,x,36.327404,62.867030490968595,2020-08-10T22:30:59.492495Z,2020-08-10T22:31:11.322556Z
sparta1.4391,2020-08-10T22:39:56,-0.04,ET,GFM,HHZ,36.111,-81.807,1726.0,76.16604,-0.4848905772235535,x,x,237.15912,,2020-08-10T22:40:09.132347Z,2020-08-10T22:40:18.013763Z
sparta1.4391,2020-08-10T22:39:56,-0.04,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.75424993,2.7681860438369914,D,E,168.17833,,2020-08-10T22:39:56.143683Z,2020-08-10T22:39:56.247620Z
sparta1.4391,2020-08-10T22:39:56,-0.04,ET,S2NC,HHZ,36.46379,-81.14582,934.0,5.045655,1.525021312901116,x,x,241.70882,,2020-08-10T22:39:56.863802Z,2020-08-10T22:39:57.454760Z
sparta1.4391,2020-08-10T22:39:56,-0.04,N4,U54A,HHZ,36.5209,-81.8204,837.0,64.994156,-0.7406367783538191,x,x,273.6941,,2020-08-10T22:40:07.206368Z,2020-08-10T22:40:14.785241Z
sparta1.4391,2020-08-10T22:39:56,-0.04,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.790215,1.2777474211072828,x,x,103.263855,,2020-08-10T22:40:07.343557Z,2020-08-10T22:40:15.015213Z
sparta1.4391,2020-08-10T22:39:56,-0.04,N4,V55A,HHZ,35.8518,-81.2149,313.0,71.106384,-0.9888843201569248,x,x,188.66898,,2020-08-10T22:40:08.250887Z,2020-08-10T22:40:16.542257Z
sparta1.4391,2020-08-10T22:39:56,-0.04,US,BLA,BHZ,37.2113,-80.42049,634.0,100.61148,-0.9912825250313031,x,x,36.599915,89.81804084194921,2020-08-10T22:40:13.347450Z,2020-08-10T22:40:25.079540Z
sparta1.4525,2020-08-10T22:59:10,-1.7,ET,GFM,HHZ,36.111,-81.807,1726.0,75.681725,0.5012647559158232,x,x,235.76544,62.84475446363204,2020-08-10T22:59:23.051277Z,2020-08-10T22:59:31.877865Z
sparta1.4525,2020-08-10T22:59:10,-1.7,ET,S1NC,HHZ,36.4787,-81.09453,874.0,2.5434356,0.7007101440677068,x,x,141.8291,,2020-08-10T22:59:10.538267Z,2020-08-10T22:59:10.909062Z
